Jock Kellogg
"Roy Raymond, Jr."
Audrey Spears
Helga Jace
Edward Raymond
Rac Shade
Glorious Godfrey
Source
William Walker
Appa Ali Apsa
Laura De Mille
June Robbins
Iroque
Catalina Flores
Manitou Raven
Lazarus Lane
Patrick MacGuire II
Abel
Anthony Woodward
Eric Strauss
Thomas Thompkins II
Amon Tomaz
Fang Zhifu
Taleb Beni Khalid
Faith
William Everett III
Artemis Crock
John Dee
Robert Daley
Brainiac 8
Kole Weathers
Robert Reed
Solovar
Cyril Sheldrake
Mister Mind
Keith Everet
Thara Ak-Var
Amy Allen
Isaiah Crockett
Walter Johnson II
Bat-Mite
Lawrence Crock
Lance Gallant (Earth-X)
Joan Dale
Munk
Andrew Franklin
Charlotte Gage-Radcliffe
Ramsey Robinson
Shado
Anthony Rodriguez II
Thomas Ludlow Hallaway
Jeannette
Michael Lane
Arthur Joseph Curry
Beryl Hutchinson
Delilah Tyler
Rhea Jones
Gardner Grayle
Sebastian Blood VIII
General Immortus
Prometheus
Valerie Kameya (Dakotaverse)
Augustus Freeman (Dakotaverse)
Jack Wheeler
Mikhail Arkadin
Nimbus
Brian Kent
Hath-Set
King Standish
Darla Aquista
Lester Buchinsky
Patricia Trayce
Jonathan Fox
Jewelee
Isuma Yasunari
Sensei
Peter Merkel
Rod Reilly
Wendy Kuttler
Aleksandr Creote
Albrecht Krieger
Gerri Brauer (Dakotaverse)
Harry Chawney (Dakotaverse)
William MacIntyre
Aaron Helzinger
Joseph Martin
Liri Lee
Deadline
Takeo Yakata
Michelle Carter
Ulysses Hazard
Eric Needham
Simon Hurt
Amos Fortune
Julian Day
Space Cabby
Mortimer Drake
Tweedledum and Tweedledee
Andre Twist
Erica Alexandra del Portenza
David Kim (Dakotaverse)
Chandi Gupta
Laira Omoto
Benjamin Lockwood
Flying Fox
Zastrow
Jean-Louis Droo
Roy G. Bivolo
King Chimera
Thaddeus Thawne II
Raquel Ervin (Dakotaverse)
Manga Khan
Daniel Garrett
Jinx
Nommo
Iluthin
Mantis
Loren Jupiter
Hook
Abel Tarrant
John Trujillo
Brian Durlin
Angelo Bend
Edmund Dorrance
Benjamin Krullen
Gregorio de la Vega
Natalia Knight
Remoni-Notra
Key
Medphyll
Amentep
Candace Jean Gennaro
Celia Forrestal
Lagoon Boy
Cassius Payne
Bertron Diib
Dabney Donovan
Ravan
Gary Washington
Susan Linden I
Zazzala
Matthew Hagen
"Slim, Ghost Patrol"
Hugh Hazzard
Michael Christian Amar
Martin van Wyck
Geoffrey Barron
Flora Black
Elizabeth Thorne
Destiny
Drax
Epoch
Erik Storn
Hannibal Bates
Lester Colt
Mi-Sun Kwon
Shyleen Lao
Isadora Wellington-Smythe (Dakotaverse)
Kahina Eskandari (Dakotaverse)
Matthew Ryder (Armageddon 2001)
Weird
Dufus P. Ratchet
Summer Day
Sam Simeon
Evil Star
Thomas Rogers
Wotan
Joseph Higgins
Manitou Dawn
Gavin King
Donald Fite
Sidney Speck
Uno
Jarras Minion
Nash
Clyde Phillips
Luke McKendrick
Maria Verdugo
Victor Sommers
Princess Emerald III
Nathaniel Tryon
Grant Wilson
Preston Payne
Lucien
Firehair
Eric Morden
Xax
Bonnie King
Christopher Freeman
Thomas N. Thomas
Angela St. Grace
Joseph Monteleone
Lindsay Wah
Andrew Van Horn
Nicholas Kovak
Peter Cannon
Anthony Mantegna
Rebecca Jones
Lambien
Fero
Doctor Bedlam
Roderick Rose
Gerome McKenna
Holly Granger
Timothy Zanetti
Jane Doe
Freak
Guillermo Barrera
Stella Maxwell (Dakotaverse)
Bandage People
Ladonna Jameal
Aristides Demetrios
Charon
David Drake
Albert Michaels
Qwewq
Mokkari
Tannarak
Rath
Richard Stanton
Karl Hellfern
Atlee
Alix Harrower
Father Time
Vortex
Kent Connor
